id,relid,year,active_year,code_status,type_of_violence,conflict_dset_id,conflict_new_id,conflict_name,dyad_dset_id,dyad_new_id,dyad_name,side_a_dset_id,side_a_new_id,side_a,side_b_dset_id,side_b_new_id,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,where_description,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,country_id,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best,high,low,gwnoa,gwnob
618155,PAK-2026-1-857-71,2026,true,Clear,1,"",404,Pakistan: Government,857,857,Government of Pakistan - TTP,142,142,Government of Pakistan,356,356,TTP,12,"""Afghan Analyst on Twitter (X),2026-02-27,Family That Lost 17 Members in Pakistani Airstrikes Thanks Taliban for Retaliation"";""Afghan Analyst on Twitter (X),2026-02-24,UNAMA Confirms Civilian Casualties in Pakistani Airstrikes"";""Afghan Analyst on Twitter (X),2026-02-22,Pakistan Fails to Provide Evidence That Its Airstrikes in Afghanistan Targeted Militants"";""Afghan Analyst on Twitter (X),2026-02-22,Pakistani Airstrikes Leave 18 Civilians Dead and 6 Injured in Nangarhar; No Casualties Reported in Paktika"";""Afghan Analyst on Twitter (X),2026-02-21,Pakistan Confirms Airstrikes on Targets Inside Afghanistan"";""Tolo News,2026-02-25,Adil Raja, a former member of the Pakistan Army and journalist, said in an analysis that nearly 72 hours after Pakistan’s airstrikes inside Afghan territory, no verifiable evidence has been presented to substantiate claims that “terrorist targets” were eliminated."";""Tolo News,2026-02-22,According to a statement released by the Ministry of Education, in last night’s attacks by Pakistan’s military regime, one student of the Farooqia madrasa in Margha village of Barmal district, Paktika province, was injured. "";""Khaama Press,2026-02-23,Pakistan Claims 80 Militants Killed in Afghanistan Strikes, Kabul Reports Civilian Deaths"";""Hasht e Subh Daily,2026-02-22,Taliban summons Pakistani ambassador in Kabul in response to last night's attacks"";""Agence France Presse,2026-02-22,Afghans mourn villagers killed in Pakistani strikes"";""BBC Monitoring News Alert,2026-02-23,Pakistani strikes inside Afghanistan reportedly kills over 80 militants
CR 	Source: The Express Tribune website, Karachi, in English 0102 GMT 23 Feb 26"";""Crisis Watch,2026-02-28,Afghanistan February 2026""",Afghan Analyst on Twitter (X);Afghan Analyst on Twitter (X);Afghan Analyst on Twitter (X);Afghan Analyst on Twitter (X);Afghan Analyst on Twitter (X);Tolo News;Tolo News;Khaama Press;Hasht e Subh Daily;Agence France Presse;BBC Monitoring News Alert;Crisis Watch,2026-02-27;2026-02-24;2026-02-22;2026-02-22;2026-02-21;2026-02-25;2026-02-22;2026-02-23;2026-02-22;2026-02-22;2026-02-23;2026-02-28,"Family That Lost 17 Members in Pakistani Airstrikes Thanks Taliban for Retaliation;UNAMA Confirms Civilian Casualties in Pakistani Airstrikes;Pakistan Fails to Provide Evidence That Its Airstrikes in Afghanistan Targeted Militants;Pakistani Airstrikes Leave 18 Civilians Dead and 6 Injured in Nangarhar; No Casualties Reported in Paktika;Pakistan Confirms Airstrikes on Targets Inside Afghanistan;Adil Raja, a former member of the Pakistan Army and journalist, said in an analysis that nearly 72 hours after Pakistan’s airstrikes inside Afghan territory, no verifiable evidence has been presented to substantiate claims that “terrorist targets” were eliminated.;According to a statement released by the Ministry of Education, in last night’s attacks by Pakistan’s military regime, one student of the Farooqia madrasa in Margha village of Barmal district, Paktika province, was injured. ;Pakistan Claims 80 Militants Killed in Afghanistan Strikes, Kabul Reports Civilian Deaths;Taliban summons Pakistani ambassador in Kabul in response to last night's attacks;Afghans mourn villagers killed in Pakistani strikes;Pakistani strikes inside Afghanistan reportedly kills over 80 militants
CR 	Source: The Express Tribune website, Karachi, in English 0102 GMT 23 Feb 26;Afghanistan February 2026",Afghan Analyst on Twitter (X); UNAMA; Pakistan Ministry of Information and Broadcasting,2,Gardi Kas village,Gardi-Kats area of Behsud district of Nangarhar,Nangarhar province,Bihsud district,34.385400,70.663900,POINT (70.6639 34.3854),179062,Afghanistan,700,Asia,1,1,2026-02-21 00:00:00.000,2026-02-21 00:00:00.000,0,0,18,0,18,80,13,770,
609987,AFG-2026-3-951-0,2026,false,Clear,3,130,484,Government of Afghanistan - Civilians,130,951,Government of Afghanistan - Civilians,130,130,Government of Afghanistan,9999,1,Civilians,2,"""Kabul Now,2026-01-08,Former Pro-Government Militia Commander Killed in Jawzjan"";""The Afghan Digest,2026-01-12,The Week of January 5-11""",Kabul Now;The Afghan Digest,2026-01-08;2026-01-12,Former Pro-Government Militia Commander Killed in Jawzjan;The Week of January 5-11,Local sources; Afghan Digest,3,Khwaja Du Koh district,center of Khwaja Dokoh district,Jawzjan province,Khwaja Du Koh district,36.936997,65.598732,POINT (65.598732 36.936997),182652,Afghanistan,700,Asia,1,1,2026-01-07 00:00:00.000,2026-01-07 00:00:00.000,0,0,1,0,1,1,0,700,
610972,AFG-2026-3-951-2,2026,false,Clear,3,130,484,Government of Afghanistan - Civilians,130,951,Government of Afghanistan - Civilians,130,130,Government of Afghanistan,9999,1,Civilians,2,"""Kabul Now,2026-01-16,Young Man Killed, Another Wounded in Taliban Gunfire in Western Afghanistan"";""Etilaat Roz,2026-01-16,A young man was killed in shooting by Taliban forces in Herat""",Kabul Now;Etilaat Roz,2026-01-16;2026-01-16,"Young Man Killed, Another Wounded in Taliban Gunfire in Western Afghanistan;A young man was killed in shooting by Taliban forces in Herat",local sources,1,Hirat town,fifth district of Herat city,Hirat province,Hirat district,34.349991,62.200001,POINT (62.200001 34.349991),179045,Afghanistan,700,Asia,1,1,2026-01-15 00:00:00.000,2026-01-15 00:00:00.000,0,0,0,0,0,1,0,700,
618220,AFG-2026-3-951-7,2026,false,Clear,3,130,484,Government of Afghanistan - Civilians,130,951,Government of Afghanistan - Civilians,130,130,Government of Afghanistan,9999,1,Civilians,1,"""Hasht e Subh Daily,2026-02-21,Unidentified gunmen kill former soldier in Paktika""",Hasht e Subh Daily,2026-02-21,Unidentified gunmen kill former soldier in Paktika,Local sources in Paktika,2,Yahya Khel district,Yahyakhel district.,Paktika province,Yahya Khel district,32.924506,68.660065,POINT (68.660065 32.924506),176898,Afghanistan,700,Asia,1,1,2026-02-21 00:00:00.000,2026-02-21 00:00:00.000,0,0,0,0,0,1,0,700,
618195,AFG-2026-3-951-6,2026,false,Clear,3,130,484,Government of Afghanistan - Civilians,130,951,Government of Afghanistan - Civilians,130,130,Government of Afghanistan,9999,1,Civilians,2,"""Kabul Now,2026-02-26,Civilian Shot Dead in Panjshir as Taliban Deny Involvement"";""Etilaat Roz,2026-02-26,Sources: Taliban kill civilian in Panjshir""",Kabul Now;Etilaat Roz,2026-02-26;2026-02-26,Civilian Shot Dead in Panjshir as Taliban Deny Involvement;Sources: Taliban kill civilian in Panjshir,local source,1,Zaman Kor village,Zamankor area of Anaba district,Panjsher province,Unaba district,35.230030,69.339040,POINT (69.33904 35.23003),180499,Afghanistan,700,Asia,1,1,2026-02-25 00:00:00.000,2026-02-25 00:00:00.000,0,0,0,0,0,1,0,700,
618157,AFG-2026-1-12291-3,2026,true,Clear,1,"",11639,Afghanistan - Pakistan,12291,12291,Government of Afghanistan - Government of Pakistan,130,130,Government of Afghanistan,142,142,Government of Pakistan,3,"""Ariana News,2026-02-27,#BREAKING: Sources told Ariana News that in an attack by the Pakistani military regime on civilians in Barmal district of Paktika province, 3 civilians were martyred and more than 10 others were injured."";""Tolo News,2026-02-27,Last night, a mortar shell fired by Pakistani forces struck a civilian home in an area near Angoor Ada in the Barmal district of Paktika province, killing three civilians, including children, and injuring seven others."";""BBC Monitoring News Alert,2026-02-28,Several Afghan civilians killed, injured in Pakistani strikes
CR 	Source: X (formerly Twitter) in Persian 0949 GMT 28 Feb 26""",Ariana News;Tolo News;BBC Monitoring News Alert,2026-02-27;2026-02-27;2026-02-28,"#BREAKING: Sources told Ariana News that in an attack by the Pakistani military regime on civilians in Barmal district of Paktika province, 3 civilians were martyred and more than 10 others were injured.;Last night, a mortar shell fired by Pakistani forces struck a civilian home in an area near Angoor Ada in the Barmal district of Paktika province, killing three civilians, including children, and injuring seven others.;Several Afghan civilians killed, injured in Pakistani strikes
CR 	Source: X (formerly Twitter) in Persian 0949 GMT 28 Feb 26",Ariana News; state-run Bakhtar News Agency,2,Angor Ada border post (Afghan side),area near Angoor Ada in the Barmal district of Paktika province,Paktika province,Barmal district,32.519206,69.265509,POINT (69.265509 32.519206),176899,Afghanistan,700,Asia,1,1,2026-02-26 00:00:00.000,2026-02-26 00:00:00.000,0,0,3,0,3,21,3,700,770
618160,AFG-2026-1-12291-4,2026,true,Clear,1,"",11639,Afghanistan - Pakistan,12291,12291,Government of Afghanistan - Government of Pakistan,130,130,Government of Afghanistan,142,142,Government of Pakistan,1,"""AMU TV,2026-02-27,Breaking News - Sources say that Mullah Omar's house, the former Taliban leader, in Kandahar, which is the center of the Taliban's suicide squad, was one of the sections targeted in last night's Pakistani attacks.""",AMU TV,2026-02-27,"Breaking News - Sources say that Mullah Omar's house, the former Taliban leader, in Kandahar, which is the center of the Taliban's suicide squad, was one of the sections targeted in last night's Pakistani attacks.",Amu TV,1,Kandahar town,Kandahar town,Kandahar province,Kandahar district,31.611795,65.705795,POINT (65.705795 31.611795),175452,Afghanistan,700,Asia,1,1,2026-02-26 00:00:00.000,2026-02-26 00:00:00.000,15,0,0,0,15,15,15,700,770
622824,AFG-2026-1-12291-73,2026,true,Check deaths,1,"",11639,Afghanistan - Pakistan,12291,12291,Government of Afghanistan - Government of Pakistan,130,130,Government of Afghanistan,142,142,Government of Pakistan,1,"""BBC Monitoring Round-up,2026-03-16,Pakistan media highlights 16 Mar 26
CR 	Source: BBC Monitoring in Urdu 16 Mar 26""",BBC Monitoring Round-up,2026-03-16,"Pakistan media highlights 16 Mar 26
CR 	Source: BBC Monitoring in Urdu 16 Mar 26",Pakistan,6,Afghanistan,"",,,33.000000,65.000000,POINT (65 33),177611,Afghanistan,700,Asia,2,4,2026-02-26 00:00:00.000,2026-03-15 00:00:00.000,0,0,0,0,0,193,0,700,770
617685,AFG-2026-1-12291-0,2026,true,Check deaths,1,"",11639,Afghanistan - Pakistan,12291,12291,Government of Afghanistan - Government of Pakistan,130,130,Government of Afghanistan,142,142,Government of Pakistan,4,"""@khorasandiary on Twitter (X),2026-02-27,ALERT: Pakistan Military| 274 Taliban Fighters Killed in Attacks Across 53 Locations in Khyber Pakhtunkhwa"";""@khorasandiary on Twitter (X),2026-02-27,ALERT: “Any malicious act by Pakistan will be answered in Islamabad,” the spokesman for the interim Afghan government told a presser underway in Kabul, Afghanistan Friday afternoon."";""Bakhtar News,2026-02-27,‎Ministry of National Defense: 55 Pakistani Soldiers Killed in Tonight’s Retaliatory Strikes on Hypothetical Line"";""Associated Press Newswires,2026-02-27,Pakistan is in 'open war' with Afghanistan after latest strikes, defense minister says

AU 	
Munir Ahmed""",@khorasandiary on Twitter (X);@khorasandiary on Twitter (X);Bakhtar News;Associated Press Newswires,2026-02-27;2026-02-27;2026-02-27;2026-02-27,"ALERT: Pakistan Military| 274 Taliban Fighters Killed in Attacks Across 53 Locations in Khyber Pakhtunkhwa;ALERT: “Any malicious act by Pakistan will be answered in Islamabad,” the spokesman for the interim Afghan government told a presser underway in Kabul, Afghanistan Friday afternoon.;‎Ministry of National Defense: 55 Pakistani Soldiers Killed in Tonight’s Retaliatory Strikes on Hypothetical Line;Pakistan is in 'open war' with Afghanistan after latest strikes, defense minister says

AU 	
Munir Ahmed",Pakistani military spokesperson; Afghan government,5,Afghanistan-Pakistan border,border area,,,31.689623,68.051427,POINT (68.051427 31.689623),175457,Afghanistan,700,Asia,1,2,2026-02-26 00:00:00.000,2026-02-27 00:00:00.000,0,23,0,0,23,223,12,700,770
617758,AFG-2026-1-12291-2,2026,true,Check deaths,1,"",11639,Afghanistan - Pakistan,12291,12291,Government of Afghanistan - Government of Pakistan,130,130,Government of Afghanistan,142,142,Government of Pakistan,3,"""@khorasandiary on Twitter (X),2026-02-26,ALERT: Pakistan’s officials say that around 19 Afghan Taliban have been killed and 9 border posts have been destroyed as a result of the Afghanistan’s unprovoked fire on Pakistan’s border posts as of early estimates. "";""Afghan Analyst on Twitter (X),2026-02-26,Conflicting Casualty Claims Emerge After Taliban-Pakistan Fighting"";""Bakhtar News Agency,2026-02-27,‎Ministry of National Defense: 55 Pakistani Soldiers Killed in Tonight’s Retaliatory Strikes on Hypothetical Line""",@khorasandiary on Twitter (X);Afghan Analyst on Twitter (X);Bakhtar News Agency,2026-02-26;2026-02-26;2026-02-27,ALERT: Pakistan’s officials say that around 19 Afghan Taliban have been killed and 9 border posts have been destroyed as a result of the Afghanistan’s unprovoked fire on Pakistan’s border posts as of early estimates. ;Conflicting Casualty Claims Emerge After Taliban-Pakistan Fighting;‎Ministry of National Defense: 55 Pakistani Soldiers Killed in Tonight’s Retaliatory Strikes on Hypothetical Line,Pakistan’s officials; Taliban's Ministry of Defense,5,Afghanistan-Pakistan border,"along the imaginary Durand Line near the provinces of Paktika, Paktia, Khost, Nangarhar, Kunar, and Nuristan.",,,31.689623,68.051427,POINT (68.051427 31.689623),175457,Afghanistan,700,Asia,1,1,2026-02-26 00:00:00.000,2026-02-26 00:00:00.000,0,0,0,0,0,104,0,700,770
