event_date,year,event_type,sub_event,actor1,actor2,admin1,admin2,location,city,latitude,longitude,fatalities,notes,source
2022-02-24,2022,Violence against civilians,One-sided violence,Government of Russia (Soviet Union),Civilians,Kharkiv oblast,Izyum raion,Kamyanka village,Kharkiv,49.121944,37.292500,3,"Kharkiv region: there is not a single surviving house in Kamyanets, the police find the bodies of the dead in the basements",UCDP GED v25.1
2022-02-24,2022,Violence against civilians,One-sided violence,Government of Russia (Soviet Union),Civilians,Kharkiv oblast,Izyum raion,Izyum town,Kharkiv,49.209749,37.265663,30,"Exhumation in the forest near Izyum is being completed, but three more mass grave sites have been discovered",UCDP GED v25.1
2022-02-24,2022,Violence against civilians,One-sided violence,Government of Russia (Soviet Union),Civilians,Donetsk oblast,Kramatorsk raion,Svyatohirsk village,Donetsk,49.037516,37.568266,2,"South: Russians destroy their own munitions, bridges and crossings to slow down UAF attacks;As a result of the shelling of the Russian Federation in the Donetsk region , a civilian was killed , seven more were injured",UCDP GED v25.1
2022-02-24,2022,Violence against civilians,One-sided violence,Government of Russia (Soviet Union),Civilians,Kherson oblast,Kakhovka raion,Kakhovka Hydroelectric Power Plant,Kherson,46.775878,33.372055,5,"Возле Новой Каховки россияне расстреляли семью с детьми, самому младшему было полтора месяца",UCDP GED v25.1
2022-02-24,2022,Violence against civilians,One-sided violence,Government of Russia (Soviet Union),Civilians,Kherson oblast,Beryslav raion,Beryslav town,Kherson,46.842916,33.432214,1,"In the Kherson region, two facts of the execution of civilian cars by the invaders were established",UCDP GED v25.1
2022-02-24,2022,Violence against civilians,One-sided violence,Government of Russia (Soviet Union),Civilians,Kherson oblast,,Kherson oblast,Kherson,46.640600,32.615890,63,Bodies of 991 civilians found in liberated territories of four regions - police,UCDP GED v25.1
2022-02-24,2022,Battles,State-based armed conflict,Government of Russia (Soviet Union),Government of Ukraine,Zaporizhzhya oblast,Zaporizhzhia raion,Zaporizhzhia town,Zaporizhia,47.841260,35.121166,1,"Missile attack on Zaporozhye: a high-rise building burned down, there are dead and wounded",UCDP GED v25.1
2022-02-24,2022,Battles,State-based armed conflict,Government of Russia (Soviet Union),Government of Ukraine,Kherson oblast,Skadovsk raion,Kalanchak town,Kherson,46.253349,33.293286,4,MilitaryLand.net @Militarylandnet,UCDP GED v25.1
2022-02-24,2022,Battles,State-based armed conflict,Government of Russia (Soviet Union),Government of Ukraine,Kharkiv oblast,Izyum raion,Izyum town,Kharkiv,49.209749,37.265663,808,"Russian shelling kills at least 1,000 people in Izyum;Ukraine: Unlawful Russian Attacks in Kharkiv",UCDP GED v25.1
2022-02-24,2022,Battles,State-based armed conflict,Government of Russia (Soviet Union),Government of Ukraine,Kharkiv oblast,Izyum raion,Izyum town,Kharkiv,49.209749,37.265663,0,"Ukraine war: Mass exhumations at Izyum forest graves site;Russian Federation leaves behind only death and suffering: Zelensky showed mass burials in Izyum;During the first day of exhumation, the bodies of 17 Ukrainian soldiers and 22 civilians were found in Izyum;In Izyum, 427 dead have already been exhumed at the mass grave site;Exhumation in the forest near Izyum is being completed, but three more mass grave sites have been discovered;Exhumation in the forest near Izyum completed - 447 bodies ",UCDP GED v25.1
2022-02-24,2022,Battles,State-based armed conflict,Government of Russia (Soviet Union),Government of Ukraine,Donetsk oblast,Volnovakha raion,Bohdanivka village,Donetsk,47.628227,37.756441,2,Butenko Anton Petrovych;Butenko Andrij,UCDP GED v25.1
2022-02-24,2022,Battles,State-based armed conflict,Government of Russia (Soviet Union),Government of Ukraine,Donetsk oblast,Volnovakha raion,Buhas village,Donetsk,47.636900,37.562180,1,Sarbash Jurij Mykytovych,UCDP GED v25.1
2022-02-24,2022,Battles,State-based armed conflict,Government of Russia (Soviet Union),Government of Ukraine,Donetsk oblast,Pokrovsk raion,Marinka town,Donetsk,47.941669,37.504218,1,Pol'ohkyj Serhij Vitalijovych,UCDP GED v25.1
2022-02-24,2022,Battles,State-based armed conflict,Government of Russia (Soviet Union),Government of Ukraine,Donetsk oblast,Volnovakha raion,Volnovakha town,Donetsk,47.595000,37.482500,1,Kazemir Artem Volodymyrovych,UCDP GED v25.1
