event_date,year,event_type,sub_event,actor1,actor2,admin1,admin2,location,city,latitude,longitude,fatalities,notes,source
2021-10-01,2021,Battles,State-based armed conflict,Government of Ukraine,DPR,Donetsk oblast,,Donetsk oblast,Donetsk,48.140000,37.740000,1,Crisis Watch Ukraine October 2021,UCDP GED v25.1
2021-10-02,2021,Battles,State-based armed conflict,Government of Ukraine,DPR,Donetsk oblast,,Donetsk oblast,Donetsk,48.140000,37.740000,1,The overview of the current social and humanitarian situation in the territory of the Donetsk People`s Republic as a result of hostilities between 02 and 08 October 2021,UCDP GED v25.1
2021-10-09,2021,Battles,State-based armed conflict,Government of Ukraine,DPR,Donetsk oblast,,Donetsk oblast,Donetsk,48.140000,37.740000,1,The overview of the current social and humanitarian situation in the territory of the Donetsk People`s Republic as a result of hostilities between 09 and 15 October 2021,UCDP GED v25.1
2021-10-18,2021,Battles,State-based armed conflict,Government of Ukraine,LPR,Luhansk oblast,Luhansk City municipality,Luhansk town,Luhansk,48.566667,39.300000,1,В ЛНР заявили о гибели ее военнослужащего при обстреле со стороны киевских силовиков,UCDP GED v25.1
2021-10-21,2021,Battles,State-based armed conflict,Government of Ukraine,DPR,Donetsk oblast,,Donetsk oblast,Donetsk,48.140000,37.740000,5,The overview of the current social and humanitarian situation in the territory of the Donetsk People`s Republic as a result of hostilities between 23 and 29 October 2021,UCDP GED v25.1
2021-10-26,2021,Battles,State-based armed conflict,Government of Ukraine,DPR,Donetsk oblast,Boykivskyi raion,Hranitne town,Donetsk,47.454601,37.864028,1,"Ukraine soldier killed in separatist east;51y.o. Heorhiy Khalikov was killed in enemy shelling in Hranitne, Donetsk Obl on Oct 26, 2021",UCDP GED v25.1
2021-10-27,2021,Battles,State-based armed conflict,Government of Ukraine,LPR,Luhansk oblast,Popasna raion,Novotoshkivske village,Luhansk,48.724788,38.632320,1,"Ukrainian soldier killed amid 15 truce breaches in Donbas;36y.o. Viktor Rachuhin killed by enemy sniper near Novotoshkivske, Luhansk Obl on Oct 27, 2021.",UCDP GED v25.1
2021-10-29,2021,Battles,State-based armed conflict,Government of Ukraine,DPR,Donetsk oblast,Boykivskyi raion,Pavlopil village,Donetsk,47.261586,37.784176,1,Daily Report 277/2021 25 November 2021,UCDP GED v25.1
2021-11-02,2021,Battles,State-based armed conflict,Government of Ukraine,DPR,Donetsk oblast,Boykivskyi raion,Pavlopil village,Donetsk,47.261586,37.784176,1,"Ukrainian soldier killed as result of one shelling of Russian-occupation forces this day - JFO HQ;Serhiy Yelyseyev died of his wounds on Nov 2, 2021. Positions of Ukrainian Army near Pavlopil, Donetsk Obl",UCDP GED v25.1
2021-11-04,2021,Battles,State-based armed conflict,Government of Ukraine,DPR,Donetsk oblast,,Donetsk oblast,Donetsk,48.140000,37.740000,1,"Один военнослужащий ДНР погиб, еще двое ранены в результате обстрела со стороны Украины",UCDP GED v25.1
