asn,holder,type,country,country_name,lat,lon,classification,sorm_role,ua_city
174,COGENT-174 - Cogent Communications,as,US,United States,41.52,-96.82,Transit,,
1299,TWELVE99 - Arelion Sweden AB,as,SE,Sweden,58.38,20.52,Transit,,
1828,UNITAS - Unitas Global,as,US,United States,41.46,-100.5,Transit,,
1916,Rede Nacional de Ensino e Pesquisa,as,BR,Brazil,-13.16,-52.1,Transit,,
2914,NTT-DATA-2914 - NTT America,as,US,United States,39.34,-99.06,Transit,,
3257,GTT-BACKBONE - GTT Communications Inc.,as,US,United States,40.5,-99.22,Transit,,
3326,"DATAGROUP - PRIVATE JOINT STOCK COMPANY ""DATAGROUP""",as,UA,Ukraine,49.26,33.18,Ukrainian,,
3356,LEVEL3 - Level 3 Parent,as,US,United States,40.92,-98.32,Transit,,
3491,PCCWG-APAC-HK PCCW Global HK Ltd.,as,HK,Hong Kong,20.86,114.48,Transit,,
3549,LVLT-3549 - Level 3 Parent,as,US,United States,41.2,-97.8,Transit,,
4230,CLARO S.A.,as,BR,Brazil,-16.1,-51.4,Transit,,
5511,OPENTRANSIT - Orange S.A.,as,FR,France,46.18,3.14,Transit,,
6453,AS6453 - TATA COMMUNICATIONS AMERICA INC,as,US,United States,39.68,-100.14,Transit,,
6461,ZAYO-6461 - Zayo Bandwidth,as,US,United States,39.58,-96.72,Transit,,
6762,SEABONE-NET - TELECOM ITALIA SPARKLE S.p.A.,as,IT,Italy,42.38,12.0,Transit,,
6849,"UKRTELNET - JSC ""Ukrtelecom""",as,UA,Ukraine,47.28,30.84,UA-target,,Mariupol
6939,HURRICANE - Hurricane Electric LLC,as,US,United States,41.22,-98.64,Transit,,
7738,V tal,as,BR,Brazil,-12.72,-52.26,Transit,,
8220,COLT - COLT Technology Services Group Limited,as,GB,United Kingdom,55.92,-0.56,Transit,,
9002,RETN-AS - RETN Limited,as,GB,Russia,55.14,38.16,Russian,,
10429,TELEFONICA BRASIL S.A,as,BR,Brazil,-13.4,-53.0,Transit,,
12706,FUIB-NET - Public JSC First Ukrainian International Bank,as,UA,Ukraine,47.62,30.4,Ukrainian,,
12956,TELXIUS - TELEFONICA GLOBAL SOLUTIONS SL,as,ES,Spain,42.06,-1.88,Transit,,
13053,ASSOFTTRONIK - LLC PRIOCOM,as,UA,Ukraine,50.26,33.54,Ukrainian,,
13188,TRIOLAN - CONTENT DELIVERY NETWORK LTD,as,UA,Ukraine,47.7,33.54,UA-target,,Kharkiv
13786,SEABORN - Seabras 1 USA,as,US,United States,38.4,-97.32,Transit,,
15704,AS15704 - XTRA TELECOM S.A.,as,ES,Spain,42.3,-2.28,Transit,,
16327,PAVLABOR-AS - Pavlabor LTD,as,UA,Ukraine,47.78,31.78,Ukrainian,,
16397,EQUINIX BRASIL,as,BR,Brazil,-14.82,-51.88,Transit,,
16735,ALGAR TELECOM SA,as,BR,Brazil,-15.24,-52.02,Transit,,
20080,AMPATH - Florida International University,as,US,United States,38.78,-100.06,Transit,,
21219,"DATAGROUP - PRIVATE JOINT STOCK COMPANY ""DATAGROUP""",as,UA,Ukraine,48.32,31.26,UA-target,,Kherson
21432,AVAL - RAIFFEISEN BANK JSC,as,UA,Ukraine,50.6,32.84,Ukrainian,,
22548,Nucleo de Inf. e Coord. do Ponto BR - NIC.,as,BR,Brazil,-16.1,-51.96,Transit,,
23106,AMERICAN TOWER DO BRASIL-COMUNICACAO MULTIMIDIA LT,as,BR,Brazil,-13.18,-52.1,Transit,,
24482,SGGS-AS-AP SG.GS,as,SG,Singapore,3.26,102.58,Transit,,
26615,TIM SA,as,BR,Brazil,-13.7,-52.28,Transit,,
28186,ITS TELECOMUNICACOES LTDA,as,BR,Brazil,-15.88,-51.6,Transit,,
28329,Megatelecom Telecomunicacoes Ltda,as,BR,Brazil,-13.3,-53.44,Transit,,
28513,UNINET,as,MX,Mexico,22.52,-101.16,Transit,,
28571,UNIVERSIDADE DE SAO PAULO,as,BR,Brazil,-14.26,-53.44,Transit,,
28634,Life Tecnologia Ltda.,as,BR,Brazil,-12.4,-52.3,Transit,,
28776,SOFTSERVE-AS - ISV TECH LIMITED,as,MT,Unknown,1.56,0.76,Transit,,
28917,"FIORD-AS - Fiord Networks, UAB",as,LT,Lithuania,55.9,25.32,Transit,,
29102,UPC-NET - PJSC Ukrainian Processing Center,as,UA,Ukraine,48.78,30.84,Ukrainian,,
29146,UAIC-AS - IT Consulting Group LTD,as,UA,Ukraine,47.24,30.02,Ukrainian,,
