timestamp,datetime,period,city,matched_asns,as_path,as_path_length,sorm_ases,classification,prefixes,next_hop,origin,peer_as,peer_ip
1633046431,2021-10-01T00:00:31,baseline_2021,Luhansk,AS34867,28571 → 1916 → 6939 → 34867 → 57167,5,,neutral,,,IGP,28571,2001:12f8::20
1633046457,2021-10-01T00:00:57,baseline_2021,Kharkiv,AS13188,28571 → 1916 → 6939 → 13188,4,,neutral,,,IGP,28571,2001:12f8::20
1633046460,2021-10-01T00:01:00,baseline_2021,Luhansk,AS34867,28571 → 1916 → 6939 → 34867,4,,neutral,,,IGP,28571,2001:12f8::20
1633046442,2021-10-01T00:00:42,baseline_2021,Kharkiv,AS13188 AS13188 AS13188 AS13188,29680 → 8220 → 35320 → 13188 → 13188 → 13188 → 13188,7,,neutral,159.224.122.0/24 | 159.224.179.0/24,193.242.98.141,IGP,29680,193.242.98.141
1633046458,2021-10-01T00:00:58,baseline_2021,Luhansk,AS34867,29680 → 6939 → 34867 → 39299,4,,neutral,,,IGP,29680,2001:7f8:2a:0:2:1:2:9680
1633046464,2021-10-01T00:01:04,baseline_2021,Luhansk,AS34867,29680 → 6939 → 34867,3,,neutral,,,IGP,29680,2001:7f8:2a:0:2:1:2:9680
1633046465,2021-10-01T00:01:05,baseline_2021,Kharkiv,AS13188,29680 → 6939 → 13188,3,,neutral,,,IGP,29680,2001:7f8:2a:0:2:1:2:9680
1633046465,2021-10-01T00:01:05,baseline_2021,Kharkiv,AS13188,29680 → 3257 → 6453 → 35320 → 13188,5,,neutral,,,IGP,29680,2001:7f8:2a:0:2:1:2:9680
1633046465,2021-10-01T00:01:05,baseline_2021,Kharkiv,AS13188 AS13188 AS13188,29680 → 3257 → 6453 → 35320 → 13188 → 13188 → 13188,7,,neutral,,,IGP,29680,2001:7f8:2a:0:2:1:2:9680
1633046466,2021-10-01T00:01:06,baseline_2021,Luhansk,AS34867,29680 → 6939 → 34867 → 50864,4,,neutral,,,IGP,29680,2001:7f8:2a:0:2:1:2:9680
1633046466,2021-10-01T00:01:06,baseline_2021,Luhansk,AS34867,29680 → 6939 → 34867 → 57167,4,,neutral,,,IGP,29680,2001:7f8:2a:0:2:1:2:9680
1633046472,2021-10-01T00:01:12,baseline_2021,Kharkiv,AS13188,29680 → 3257 → 28917 → 13188,4,,neutral,37.57.177.0/24,193.242.98.141,IGP,29680,193.242.98.141
