timestamp,datetime,period,city,matched_asns,as_path,as_path_length,sorm_ases,classification,prefixes,next_hop,origin,peer_as,peer_ip
1645704004,2022-02-24T12:00:04,invasion_start_2022,Kharkiv,AS13188,57695 → 60068 → 6762 → 174 → 13188,5,,neutral,178.150.111.0/24 | 159.224.78.0/24 | 109.86.234.0/24 | 37.57.118.0/24 | 109.86.233.0/24 | 109.86.232.0/24 | 109.86.243.0/24 | 109.86.235.0/24 | 109.86.242.0/24 | 109.86.237.0/24 | 37.57.119.0/24,187.16.220.159,IGP,57695,187.16.220.159
1645704009,2022-02-24T12:00:09,invasion_start_2022,Kharkiv,AS13188,264479 → 3356 → 174 → 13188,4,,neutral,37.57.118.0/24 | 37.57.119.0/24 | 109.86.232.0/24 | 109.86.233.0/24 | 109.86.234.0/24 | 109.86.235.0/24 | 109.86.237.0/24 | 109.86.242.0/24 | 109.86.243.0/24 | 159.224.78.0/24,187.16.222.156,IGP,264479,187.16.222.156
1645704009,2022-02-24T12:00:09,invasion_start_2022,Kharkiv,AS13188,264479 → 61568 → 13188,3,,neutral,178.150.111.0/24,187.16.222.156,IGP,264479,187.16.222.156
1645704011,2022-02-24T12:00:11,invasion_start_2022,Kharkiv,AS13188,28186 → 7738 → 174 → 13188,4,,neutral,159.224.74.0/24 | 37.57.5.0/24 | 159.224.75.0/24,187.16.223.133,IGP,28186,187.16.223.133
1645704021,2022-02-24T12:00:21,invasion_start_2022,Kharkiv,AS13188,263152 → 28329 → 3356 → 174 → 13188,5,,neutral,37.57.5.0/24 | 109.86.239.0/24,187.16.222.107,IGP,263152,187.16.222.107
1645704023,2022-02-24T12:00:23,invasion_start_2022,Kharkiv,AS13188,16735 → 3356 → 174 → 13188,4,,neutral,109.86.242.0/24 | 109.86.235.0/24 | 37.57.118.0/24 | 159.224.78.0/24 | 109.86.233.0/24 | 109.86.234.0/24 | 109.86.243.0/24 | 109.86.237.0/24 | 37.57.119.0/24 | 109.86.232.0/24 | 178.150.111.0/24,187.16.217.48,IGP,16735,187.16.217.48
1645704026,2022-02-24T12:00:26,invasion_start_2022,Kharkiv,AS13188,42473 → 2914 → 174 → 13188,4,,neutral,37.57.119.0/24 | 37.57.118.0/24 | 159.224.78.0/24 | 178.150.111.0/24 | 109.86.242.0/24 | 109.86.233.0/24 | 109.86.232.0/24 | 109.86.234.0/24 | 109.86.243.0/24 | 109.86.237.0/24 | 109.86.235.0/24,187.16.216.121,IGP,42473,187.16.216.121
1645704026,2022-02-24T12:00:26,invasion_start_2022,Kharkiv,AS13188,52873 → 12956 → 174 → 13188,4,,neutral,109.86.234.0/24 | 109.86.237.0/24 | 37.57.118.0/24 | 159.224.78.0/24 | 178.150.111.0/24 | 109.86.233.0/24 | 109.86.242.0/24 | 37.57.119.0/24 | 109.86.243.0/24 | 109.86.232.0/24 | 109.86.235.0/24,187.16.220.216,IGP,52873,187.16.220.216
1645704027,2022-02-24T12:00:27,invasion_start_2022,Kharkiv,AS13188,24482 → 6453 → 174 → 13188,4,,neutral,37.57.119.0/24 | 109.86.242.0/24 | 109.86.235.0/24 | 109.86.234.0/24 | 178.150.111.0/24 | 109.86.232.0/24 | 109.86.237.0/24 | 159.224.78.0/24 | 37.57.118.0/24 | 109.86.233.0/24 | 109.86.243.0/24,187.16.208.144,IGP,24482,187.16.208.144
1645704027,2022-02-24T12:00:27,invasion_start_2022,Kharkiv,AS13188,22548 → 16735 → 3356 → 174 → 13188,5,,neutral,37.57.119.0/24,187.16.217.17,IGP,22548,187.16.217.17
1645704027,2022-02-24T12:00:27,invasion_start_2022,Kharkiv,AS13188,22548 → 3549 → 3356 → 174 → 13188,5,,neutral,159.224.78.0/24 | 109.86.235.0/24 | 109.86.234.0/24 | 37.57.118.0/24 | 109.86.232.0/24 | 109.86.233.0/24 | 178.150.111.0/24 | 109.86.237.0/24 | 109.86.242.0/24 | 109.86.243.0/24,187.16.217.17,IGP,22548,187.16.217.17
1645704028,2022-02-24T12:00:28,invasion_start_2022,Kharkiv,AS13188,24482 → 174 → 13188,3,,neutral,109.86.235.0/24 | 178.150.111.0/24 | 37.57.118.0/24 | 109.86.237.0/24 | 159.224.78.0/24 | 109.86.233.0/24 | 109.86.232.0/24 | 109.86.242.0/24 | 109.86.234.0/24 | 109.86.243.0/24 | 37.57.119.0/24,187.16.208.144,IGP,24482,187.16.208.144
1645704028,2022-02-24T12:00:28,invasion_start_2022,Kharkiv,AS13188,24482 → 6453 → 174 → 13188,4,,neutral,159.224.75.0/24,187.16.208.144,IGP,24482,187.16.208.144
1645704028,2022-02-24T12:00:28,invasion_start_2022,Kharkiv,AS13188,24482 → 6453 → 174 → 13188,4,,neutral,109.86.238.0/24 | 109.86.241.0/24 | 178.150.110.0/24 | 37.57.4.0/24 | 37.57.60.0/24 | 37.57.61.0/24 | 109.86.240.0/24,187.16.208.144,IGP,24482,187.16.208.144
1645704028,2022-02-24T12:00:28,invasion_start_2022,Kharkiv,AS13188,24482 → 174 → 13188,3,,neutral,37.57.61.0/24 | 109.86.240.0/24 | 178.150.110.0/24 | 37.57.60.0/24 | 109.86.241.0/24 | 159.224.75.0/24 | 109.86.238.0/24 | 37.57.4.0/24,187.16.208.144,IGP,24482,187.16.208.144
1645704029,2022-02-24T12:00:29,invasion_start_2022,Kharkiv,AS13188,53070 → 2914 → 174 → 13188,4,,neutral,109.86.242.0/24 | 159.224.78.0/24 | 109.86.243.0/24 | 109.86.232.0/24 | 109.86.234.0/24 | 37.57.119.0/24 | 109.86.235.0/24 | 109.86.237.0/24 | 178.150.111.0/24 | 109.86.233.0/24 | 37.57.118.0/24,187.16.216.102,IGP,53070,187.16.216.102
1645704032,2022-02-24T12:00:32,invasion_start_2022,Kharkiv,AS13188,263237 → 6939 → 1299 → 174 → 13188,5,,neutral,109.86.232.0/24,187.16.222.45,IGP,263237,187.16.222.45
1645704032,2022-02-24T12:00:32,invasion_start_2022,Kharkiv,AS13188,263237 → 6939 → 13188,3,,neutral,109.86.235.0/24 | 178.150.111.0/24 | 109.86.233.0/24 | 37.57.118.0/24 | 109.86.234.0/24 | 37.57.119.0/24 | 109.86.237.0/24 | 109.86.242.0/24 | 159.224.78.0/24 | 109.86.243.0/24,187.16.222.45,IGP,263237,187.16.222.45
1645704037,2022-02-24T12:00:37,invasion_start_2022,Kharkiv,AS13188,57695 → 60068 → 6762 → 174 → 13188,5,,neutral,178.150.111.0/24 | 159.224.78.0/24 | 109.86.234.0/24 | 37.57.118.0/24 | 109.86.233.0/24 | 109.86.232.0/24 | 109.86.243.0/24 | 109.86.235.0/24 | 109.86.242.0/24 | 109.86.237.0/24 | 37.57.119.0/24,187.16.220.159,IGP,57695,187.16.220.159
1645704039,2022-02-24T12:00:39,invasion_start_2022,Kharkiv,AS13188,264479 → 13188,2,,neutral,37.57.118.0/24 | 37.57.119.0/24 | 109.86.232.0/24 | 109.86.233.0/24 | 109.86.234.0/24 | 109.86.235.0/24 | 109.86.237.0/24 | 109.86.242.0/24 | 109.86.243.0/24 | 159.224.78.0/24 | 178.150.111.0/24,187.16.222.156,IGP,264479,187.16.222.156
1645704045,2022-02-24T12:00:45,invasion_start_2022,Kharkiv,AS13188,22548 → 3549 → 3356 → 174 → 13188,5,,neutral,109.86.234.0/24 | 178.150.111.0/24 | 159.224.78.0/24 | 109.86.237.0/24 | 109.86.242.0/24 | 109.86.243.0/24 | 109.86.232.0/24 | 37.57.118.0/24 | 109.86.235.0/24 | 109.86.233.0/24,187.16.217.17,IGP,22548,187.16.217.17
1645704051,2022-02-24T12:00:51,invasion_start_2022,Kharkiv,AS13188,263152 → 28329 → 3356 → 174 → 13188,5,,neutral,37.57.119.0/24 | 178.150.111.0/24 | 109.86.232.0/24 | 109.86.243.0/24 | 159.224.78.0/24 | 109.86.233.0/24 | 109.86.234.0/24 | 37.57.118.0/24 | 109.86.242.0/24 | 109.86.237.0/24 | 109.86.235.0/24,187.16.222.107,IGP,263152,187.16.222.107
1645704052,2022-02-24T12:00:52,invasion_start_2022,Kharkiv,AS13188,16735 → 174 → 13188,3,,neutral,109.86.235.0/24 | 109.86.233.0/24 | 178.150.111.0/24 | 109.86.243.0/24 | 109.86.234.0/24 | 37.57.118.0/24 | 159.224.78.0/24 | 109.86.242.0/24 | 109.86.232.0/24 | 37.57.119.0/24 | 109.86.237.0/24,187.16.217.48,IGP,16735,187.16.217.48
