timestamp,datetime,period,city,matched_asns,as_path,as_path_length,sorm_ases,classification,prefixes,next_hop,origin,peer_as,peer_ip
1646208002,2022-03-02T08:00:02,kherson_dark_2022,Kharkiv,AS13188 AS13188,57695 → 36236 → 3356 → 35320 → 13188 → 13188 → 44019 → 44019,8,,neutral,93.170.134.0/24,187.16.220.159,IGP,57695,187.16.220.159
1646208005,2022-03-02T08:00:05,kherson_dark_2022,Kharkiv,AS13188 AS13188,23106 → 3356 → 35320 → 13188 → 13188 → 44019 → 44019,7,,neutral,93.170.134.0/24,187.16.217.59,IGP,23106,187.16.217.59
1646208005,2022-03-02T08:00:05,kherson_dark_2022,Kharkiv,AS13188 AS13188,23106 → 174 → 35320 → 13188 → 13188 → 44019 → 44019,7,,neutral,93.170.134.0/24,187.16.217.110,IGP,23106,187.16.217.110
1646208059,2022-03-02T08:00:59,kherson_dark_2022,Kharkiv,AS13188 AS13188,52814 → 52579 → 3356 → 35320 → 13188 → 13188 → 44019 → 44019,8,,neutral,93.170.134.0/24,187.16.210.177,IGP,52814,187.16.210.177
1646208065,2022-03-02T08:01:05,kherson_dark_2022,Kharkiv,AS13188 AS13188,53070 → 2914 → 6453 → 35320 → 13188 → 13188 → 44019 → 44019,8,,neutral,93.170.134.0/24,187.16.216.102,IGP,53070,187.16.216.102
1646208187,2022-03-02T08:03:07,kherson_dark_2022,Mariupol,AS6849,52814 → 52579 → 3356 → 174 → 6849 → 13053,6,,neutral,213.156.73.0/24,187.16.210.177,IGP,52814,187.16.210.177
1646208187,2022-03-02T08:03:07,kherson_dark_2022,Mariupol,AS6849,23106 → 174 → 6849 → 13053,4,,neutral,213.156.73.0/24,187.16.217.59,IGP,23106,187.16.217.59
1646208187,2022-03-02T08:03:07,kherson_dark_2022,Mariupol,AS6849,28186 → 3356 → 174 → 6849 → 13053,5,,neutral,213.156.73.0/24,187.16.219.51,IGP,28186,187.16.219.51
1646208187,2022-03-02T08:03:07,kherson_dark_2022,Mariupol,AS6849,52863 → 3356 → 174 → 6849 → 13053,5,,neutral,213.156.73.0/24,187.16.219.162,IGP,52863,187.16.219.162
1646208187,2022-03-02T08:03:07,kherson_dark_2022,Mariupol,AS6849,267613 → 174 → 6849 → 13053,4,,neutral,213.156.73.0/24,187.16.220.80,IGP,267613,187.16.220.80
1646208187,2022-03-02T08:03:07,kherson_dark_2022,Mariupol,AS6849,199524 → 3356 → 174 → 6849 → 13053,5,,neutral,213.156.73.0/24,187.16.222.229,IGP,199524,187.16.222.229
1646208187,2022-03-02T08:03:07,kherson_dark_2022,Mariupol,AS6849,28186 → 3549 → 3356 → 6849 → 13053,5,,neutral,213.156.73.0/24,187.16.223.133,IGP,28186,187.16.223.133
1646208187,2022-03-02T08:03:07,kherson_dark_2022,Mariupol,AS6849,264479 → 3356 → 174 → 6849 → 13053,5,,neutral,213.156.73.0/24,187.16.222.156,IGP,264479,187.16.222.156
1646208187,2022-03-02T08:03:07,kherson_dark_2022,Mariupol,AS6849,57695 → 60068 → 6762 → 174 → 6849 → 13053,6,,neutral,213.156.73.0/24,187.16.220.159,IGP,57695,187.16.220.159
1646208188,2022-03-02T08:03:08,kherson_dark_2022,Mariupol,AS6849,23106 → 3356 → 174 → 6849 → 13053 → 13053 → 13053 → 13053 → 13053 → 13053,10,,neutral,213.156.64.0/19,187.16.217.59,IGP,23106,187.16.217.59
