timestamp,datetime,period,city,matched_asns,as_path,as_path_length,sorm_ases,classification,prefixes,next_hop,origin,peer_as,peer_ip
1649980801,2022-04-15T00:00:01,mariupol_siege_2022,Mariupol,AS6849,267613 → 3356 → 6849 → 49720,4,,neutral,185.250.21.0/24 | 195.182.194.0/24,187.16.220.80,IGP,267613,187.16.220.80
1649980803,2022-04-15T00:00:03,mariupol_siege_2022,Mariupol,AS6849,267613 → 3356 → 6849 → 49720,4,,neutral,185.250.21.0/24 | 195.182.194.0/24,187.16.220.80,IGP,267613,187.16.220.80
1649980804,2022-04-15T00:00:04,mariupol_siege_2022,Mariupol,AS6849,267613 → 3356 → 6849 → 49720,4,,neutral,185.250.21.0/24 | 195.182.194.0/24,187.16.220.80,IGP,267613,187.16.220.80
1649980806,2022-04-15T00:00:06,mariupol_siege_2022,Mariupol,AS6849,267613 → 3356 → 6849 → 49720,4,,neutral,185.250.21.0/24 | 195.182.194.0/24,187.16.220.80,IGP,267613,187.16.220.80
1649980807,2022-04-15T00:00:07,mariupol_siege_2022,Mariupol,AS6849,267613 → 3356 → 6849 → 49720,4,,neutral,185.250.21.0/24 | 195.182.194.0/24,187.16.220.80,IGP,267613,187.16.220.80
1649980809,2022-04-15T00:00:09,mariupol_siege_2022,Mariupol,AS6849,267613 → 3356 → 6849 → 49720,4,,neutral,185.250.21.0/24 | 195.182.194.0/24,187.16.220.80,IGP,267613,187.16.220.80
1649980811,2022-04-15T00:00:11,mariupol_siege_2022,Mariupol,AS6849,267613 → 3356 → 6849 → 49720,4,,neutral,185.250.21.0/24 | 195.182.194.0/24,187.16.220.80,IGP,267613,187.16.220.80
1649980813,2022-04-15T00:00:13,mariupol_siege_2022,Mariupol,AS6849,267613 → 3356 → 6849 → 49720,4,,neutral,185.250.21.0/24 | 195.182.194.0/24,187.16.220.80,IGP,267613,187.16.220.80
1649980814,2022-04-15T00:00:14,mariupol_siege_2022,Mariupol,AS6849,267613 → 3356 → 6849 → 49720,4,,neutral,185.250.21.0/24 | 195.182.194.0/24,187.16.220.80,IGP,267613,187.16.220.80
1649980815,2022-04-15T00:00:15,mariupol_siege_2022,Mariupol,AS6849,267613 → 3356 → 6849 → 49720,4,,neutral,185.250.21.0/24 | 195.182.194.0/24,187.16.220.80,IGP,267613,187.16.220.80
1649980817,2022-04-15T00:00:17,mariupol_siege_2022,Mariupol,AS6849,267613 → 3356 → 6849 → 49720,4,,neutral,185.250.21.0/24 | 195.182.194.0/24,187.16.220.80,IGP,267613,187.16.220.80
1649980819,2022-04-15T00:00:19,mariupol_siege_2022,Mariupol,AS6849,267613 → 3356 → 6849 → 49720,4,,neutral,185.250.21.0/24 | 195.182.194.0/24,187.16.220.80,IGP,267613,187.16.220.80
1649980820,2022-04-15T00:00:20,mariupol_siege_2022,Mariupol,AS6849,267613 → 3356 → 6849 → 49720,4,,neutral,185.250.21.0/24 | 195.182.194.0/24,187.16.220.80,IGP,267613,187.16.220.80
1649980822,2022-04-15T00:00:22,mariupol_siege_2022,Mariupol,AS6849,267613 → 3356 → 6849 → 49720,4,,neutral,185.250.21.0/24 | 195.182.194.0/24,187.16.220.80,IGP,267613,187.16.220.80
1649980823,2022-04-15T00:00:23,mariupol_siege_2022,Mariupol,AS6849,267613 → 3356 → 6849 → 49720,4,,neutral,185.250.21.0/24 | 195.182.194.0/24,187.16.220.80,IGP,267613,187.16.220.80
1649980825,2022-04-15T00:00:25,mariupol_siege_2022,Mariupol,AS6849,267613 → 3356 → 6849 → 49720,4,,neutral,185.250.21.0/24,187.16.220.80,IGP,267613,187.16.220.80
1649980825,2022-04-15T00:00:25,mariupol_siege_2022,Mariupol,AS6849,267613 → 3356 → 6849 → 49720,4,,neutral,195.182.194.0/24,187.16.220.80,IGP,267613,187.16.220.80
1649980826,2022-04-15T00:00:26,mariupol_siege_2022,Mariupol,AS6849,267613 → 3356 → 6849 → 49720,4,,neutral,185.250.21.0/24 | 195.182.194.0/24,187.16.220.80,IGP,267613,187.16.220.80
1649980828,2022-04-15T00:00:28,mariupol_siege_2022,Mariupol,AS6849,267613 → 3356 → 6849 → 49720,4,,neutral,185.250.21.0/24 | 195.182.194.0/24,187.16.220.80,IGP,267613,187.16.220.80
1649980828,2022-04-15T00:00:28,mariupol_siege_2022,Mariupol,AS6849,267613 → 3356 → 6849 → 49720,4,,neutral,185.250.21.0/24 | 195.182.194.0/24,187.16.220.80,IGP,267613,187.16.220.80
1649980831,2022-04-15T00:00:31,mariupol_siege_2022,Mariupol,AS6849,267613 → 3356 → 6849 → 49720,4,,neutral,185.250.21.0/24 | 195.182.194.0/24,187.16.220.80,IGP,267613,187.16.220.80
1649980833,2022-04-15T00:00:33,mariupol_siege_2022,Mariupol,AS6849,267613 → 3356 → 6849 → 49720,4,,neutral,185.250.21.0/24 | 195.182.194.0/24,187.16.220.80,IGP,267613,187.16.220.80
1649980834,2022-04-15T00:00:34,mariupol_siege_2022,Mariupol,AS6849,267613 → 3356 → 6849 → 49720,4,,neutral,185.250.21.0/24 | 195.182.194.0/24,187.16.220.80,IGP,267613,187.16.220.80
1649980836,2022-04-15T00:00:36,mariupol_siege_2022,Kherson,AS21219,57695 → 60068 → 6762 → 1299 → 3326 → 21219 → 196632 → 196632 → 196632 → 196632,10,,neutral,91.209.249.0/24,187.16.220.159,IGP,57695,187.16.220.159
1649980836,2022-04-15T00:00:36,mariupol_siege_2022,Mariupol,AS6849,267613 → 3356 → 6849 → 49720,4,,neutral,185.250.21.0/24 | 195.182.194.0/24,187.16.220.80,IGP,267613,187.16.220.80
1649980839,2022-04-15T00:00:39,mariupol_siege_2022,Mariupol,AS6849,267613 → 3356 → 6849 → 49720,4,,neutral,185.250.21.0/24 | 195.182.194.0/24,187.16.220.80,IGP,267613,187.16.220.80
1649980841,2022-04-15T00:00:41,mariupol_siege_2022,Mariupol,AS6849,267613 → 3356 → 6849 → 49720,4,,neutral,185.250.21.0/24 | 195.182.194.0/24,187.16.220.80,IGP,267613,187.16.220.80
1649980843,2022-04-15T00:00:43,mariupol_siege_2022,Mariupol,AS6849,267613 → 3356 → 6849 → 49720,4,,neutral,185.250.21.0/24 | 195.182.194.0/24,187.16.220.80,IGP,267613,187.16.220.80
1649980844,2022-04-15T00:00:44,mariupol_siege_2022,Mariupol,AS6849,267613 → 3356 → 6849 → 49720,4,,neutral,195.182.194.0/24,187.16.220.80,IGP,267613,187.16.220.80
1649980846,2022-04-15T00:00:46,mariupol_siege_2022,Mariupol,AS6849,267613 → 3356 → 6849 → 49720,4,,neutral,185.250.21.0/24 | 195.182.194.0/24,187.16.220.80,IGP,267613,187.16.220.80
1649980847,2022-04-15T00:00:47,mariupol_siege_2022,Mariupol,AS6849,267613 → 3356 → 6849 → 49720,4,,neutral,185.250.21.0/24 | 195.182.194.0/24,187.16.220.80,IGP,267613,187.16.220.80
1649980849,2022-04-15T00:00:49,mariupol_siege_2022,Mariupol,AS6849,267613 → 3356 → 6849 → 49720,4,,neutral,185.250.21.0/24 | 195.182.194.0/24,187.16.220.80,IGP,267613,187.16.220.80
1649980850,2022-04-15T00:00:50,mariupol_siege_2022,Mariupol,AS6849,267613 → 3356 → 6849 → 49720,4,,neutral,185.250.21.0/24 | 195.182.194.0/24,187.16.220.80,IGP,267613,187.16.220.80
1649980852,2022-04-15T00:00:52,mariupol_siege_2022,Mariupol,AS6849,267613 → 3356 → 6849 → 49720,4,,neutral,185.250.21.0/24 | 195.182.194.0/24,187.16.220.80,IGP,267613,187.16.220.80
1649980853,2022-04-15T00:00:53,mariupol_siege_2022,Mariupol,AS6849,267613 → 3356 → 6849 → 49720,4,,neutral,185.250.21.0/24 | 195.182.194.0/24,187.16.220.80,IGP,267613,187.16.220.80
1649980855,2022-04-15T00:00:55,mariupol_siege_2022,Mariupol,AS6849,267613 → 3356 → 6849 → 49720,4,,neutral,185.250.21.0/24,187.16.220.80,IGP,267613,187.16.220.80
1649980855,2022-04-15T00:00:55,mariupol_siege_2022,Mariupol,AS6849,267613 → 3356 → 6849 → 49720,4,,neutral,195.182.194.0/24,187.16.220.80,IGP,267613,187.16.220.80
1649980856,2022-04-15T00:00:56,mariupol_siege_2022,Mariupol,AS6849,267613 → 3356 → 6849 → 49720,4,,neutral,185.250.21.0/24 | 195.182.194.0/24,187.16.220.80,IGP,267613,187.16.220.80
1649980858,2022-04-15T00:00:58,mariupol_siege_2022,Mariupol,AS6849,267613 → 3356 → 6849 → 49720,4,,neutral,185.250.21.0/24 | 195.182.194.0/24,187.16.220.80,IGP,267613,187.16.220.80
1649980859,2022-04-15T00:00:59,mariupol_siege_2022,Mariupol,AS6849,267613 → 3356 → 6849 → 49720,4,,neutral,185.250.21.0/24 | 195.182.194.0/24,187.16.220.80,IGP,267613,187.16.220.80
1649980861,2022-04-15T00:01:01,mariupol_siege_2022,Mariupol,AS6849,267613 → 3356 → 6849 → 49720,4,,neutral,185.250.21.0/24 | 195.182.194.0/24,187.16.220.80,IGP,267613,187.16.220.80
1649980863,2022-04-15T00:01:03,mariupol_siege_2022,Mariupol,AS6849,267613 → 3356 → 6849 → 49720,4,,neutral,185.250.21.0/24 | 195.182.194.0/24,187.16.220.80,IGP,267613,187.16.220.80
1649980864,2022-04-15T00:01:04,mariupol_siege_2022,Mariupol,AS6849,267613 → 3356 → 6849 → 49720,4,,neutral,185.250.21.0/24 | 195.182.194.0/24,187.16.220.80,IGP,267613,187.16.220.80
1649980866,2022-04-15T00:01:06,mariupol_siege_2022,Mariupol,AS6849,267613 → 3356 → 6849 → 49720,4,,neutral,185.250.21.0/24 | 195.182.194.0/24,187.16.220.80,IGP,267613,187.16.220.80
1649980868,2022-04-15T00:01:08,mariupol_siege_2022,Mariupol,AS6849,267613 → 3356 → 6849 → 49720,4,,neutral,185.250.21.0/24 | 195.182.194.0/24,187.16.220.80,IGP,267613,187.16.220.80
1649980870,2022-04-15T00:01:10,mariupol_siege_2022,Mariupol,AS6849,267613 → 3356 → 6849 → 49720,4,,neutral,185.250.21.0/24 | 195.182.194.0/24,187.16.220.80,IGP,267613,187.16.220.80
1649980872,2022-04-15T00:01:12,mariupol_siege_2022,Mariupol,AS6849,267613 → 3356 → 6849 → 49720,4,,neutral,185.250.21.0/24 | 195.182.194.0/24,187.16.220.80,IGP,267613,187.16.220.80
1649980875,2022-04-15T00:01:15,mariupol_siege_2022,Mariupol,AS6849,267613 → 3356 → 6849 → 49720,4,,neutral,185.250.21.0/24 | 195.182.194.0/24,187.16.220.80,IGP,267613,187.16.220.80
1649980876,2022-04-15T00:01:16,mariupol_siege_2022,Mariupol,AS6849,267613 → 3356 → 6849 → 49720,4,,neutral,185.250.21.0/24 | 195.182.194.0/24,187.16.220.80,IGP,267613,187.16.220.80
