id,relid,year,active_year,code_status,type_of_violence,conflict_dset_id,conflict_new_id,conflict_name,dyad_dset_id,dyad_new_id,dyad_name,side_a_dset_id,side_a_new_id,side_a,side_b_dset_id,side_b_new_id,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,where_description,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,country_id,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best,high,low,gwnoa,gwnob
455412,ETH-2022-1-555-314,2022,true,Clear,1,267,267,Ethiopia: Government,555,555,Government of Ethiopia - TPLF,97,97,Government of Ethiopia,410,410,TPLF,1,"""My views on news,2022-01-19,Ali Birra Nuho Gobana Oromo | Tigray Amhara fighting Sudan border | Muslim Religious place Bahir Dar""",My views on news,2022-01-19,Ali Birra Nuho Gobana Oromo | Tigray Amhara fighting Sudan border | Muslim Religious place Bahir Dar,,2,Bereket village,"Sudan-Ethiopia border; Sudan side of the border, near Brecht (as heard)",Gedarif state,El Fashaga district,14.155070,36.479287,POINT (36.4792871 14.15507),150193,Sudan,625,Africa,1,2,2022-01-01 00:00:00.000,2022-01-05 00:00:00.000,0,0,0,1,1,400,0,530,
455418,ETH-2022-1-555-315,2022,true,Clear,1,267,267,Ethiopia: Government,555,555,Government of Ethiopia - TPLF,97,97,Government of Ethiopia,410,410,TPLF,1,"""My views on news,2022-01-19,Ali Birra Nuho Gobana Oromo | Tigray Amhara fighting Sudan border | Muslim Religious place Bahir Dar""",My views on news,2022-01-19,Ali Birra Nuho Gobana Oromo | Tigray Amhara fighting Sudan border | Muslim Religious place Bahir Dar,,2,Bereket village,"Brecht area, Sudan side of the border",Gedarif state,El Fashaga district,14.155070,36.479287,POINT (36.4792871 14.15507),150193,Sudan,625,Africa,1,2,2022-01-18 00:00:00.000,2022-01-19 00:00:00.000,0,0,0,1,1,1,0,530,
455889,ETH-2022-1-555-328,2022,true,Clear,1,267,267,Ethiopia: Government,555,555,Government of Ethiopia - TPLF,97,97,Government of Ethiopia,410,410,TPLF,2,"""My views on news,2022-03-22,Tigray Ethiopia fighting near Sudan border | Amhara students | Protest in Gojjam | Dr Tedros WHO"";""My views on news,2022-03-24,Tigray Ethiopia fighting on Sudan border | Tigrayans protest in Belgium | Fitsum Arega | Russia Ukr""",My views on news;My views on news,2022-03-22;2022-03-24,Tigray Ethiopia fighting near Sudan border | Amhara students | Protest in Gojjam | Dr Tedros WHO;Tigray Ethiopia fighting on Sudan border | Tigrayans protest in Belgium | Fitsum Arega | Russia Ukr,,2,Bereket village,Brecht (near),Gedarif state,El Fashaga district,14.155070,36.479287,POINT (36.4792871 14.15507),150193,Sudan,625,Africa,1,2,2022-03-21 00:00:00.000,2022-03-24 00:00:00.000,0,0,0,1,1,1,0,530,
455893,ETH-2022-1-555-330,2022,true,Clear,1,267,267,Ethiopia: Government,555,555,Government of Ethiopia - TPLF,97,97,Government of Ethiopia,410,410,TPLF,2,"""My views on news,2022-03-28,Tigray Ethiopia fighting in 3 places on Sudan border | 40 arrested in Tigrayan video case | Fano"";""My views on news,2022-03-28,Battlefield report from Humera & Welkait | Is Biniam Girmay a Tigrayan? | WFP Tigray""",My views on news;My views on news,2022-03-28;2022-03-28,Tigray Ethiopia fighting in 3 places on Sudan border | 40 arrested in Tigrayan video case | Fano;Battlefield report from Humera & Welkait | Is Biniam Girmay a Tigrayan? | WFP Tigray,,5,Border between Sudan and Ethiopia (El Fashaga district),Lugdi (right on the border),Gedarif state,El Fashaga district,14.003352,36.470332,POINT (36.470332 14.003352),150193,Sudan,625,Africa,1,2,2022-03-27 00:00:00.000,2022-03-28 00:00:00.000,0,0,0,1,1,2,0,530,
455925,ETH-2022-1-555-333.1,2022,true,Clear,1,267,267,Ethiopia: Government,555,555,Government of Ethiopia - TPLF,97,97,Government of Ethiopia,410,410,TPLF,1,"""My views on news,2022-03-28,Battlefield report from Humera & Welkait | Is Biniam Girmay a Tigrayan? | WFP Tigray""",My views on news,2022-03-28,Battlefield report from Humera & Welkait | Is Biniam Girmay a Tigrayan? | WFP Tigray,,2,Bereket village,"Logbi, Dima and Brecht areas",Gedarif state,El Fashaga district,14.155070,36.479287,POINT (36.4792871 14.15507),150193,Sudan,625,Africa,2,2,2022-03-27 00:00:00.000,2022-03-28 00:00:00.000,0,0,0,1,1,2,0,530,
457997,ETH-2022-1-555-353,2022,true,Clear,1,267,267,Ethiopia: Government,555,555,Government of Ethiopia - TPLF,97,97,Government of Ethiopia,410,410,TPLF,1,"""My views on news,2022-07-17,Tigray fighters' attack on Sudan border | ENDF lashes out at TPLF | Selamwit Tekley | ETV | Somalia""",My views on news,2022-07-17,Tigray fighters' attack on Sudan border | ENDF lashes out at TPLF | Selamwit Tekley | ETV | Somalia,,2,Bereket village,Bereket area,Gedarif state,El Fashaga district,14.155070,36.479287,POINT (36.4792871 14.15507),150193,Sudan,625,Africa,1,2,2022-07-11 00:00:00.000,2022-07-16 00:00:00.000,0,0,0,1,1,1,0,530,
450531,ETH-2022-1-555-155,2022,true,Clear,1,267,267,Ethiopia: Government,555,555,Government of Ethiopia - TPLF,97,97,Government of Ethiopia,410,410,TPLF,2,"""My views on news,2022-09-05,Ethiopia Tigray war: Detailed report from Western Front"";""My views on news,2022-09-06,Getachew Reda's claims | Pics of TDF POWs geo located | Jawar Mohammed's message | OLA in Haro Limu""",My views on news;My views on news,2022-09-05;2022-09-06,Ethiopia Tigray war: Detailed report from Western Front;Getachew Reda's claims | Pics of TDF POWs geo located | Jawar Mohammed's message | OLA in Haro Limu,,1,Bereket village,"near the border with Tigray, near Tekeze river

a place called ""Brecht""",Gedarif state,El Fashaga district,14.155070,36.479287,POINT (36.4792871 14.15507),150193,Sudan,625,Africa,2,2,2022-09-02 00:00:00.000,2022-09-05 00:00:00.000,0,0,0,1,1,1,0,530,
12050,CHA-1989-1-20-3,1989,true,Clear,1,288,288,Chad: Government,606,606,Government of Chad - Islamic Legion,87,87,Government of Chad,442,442,Islamic Legion,-1,"Reuters 1989-11-14 ""CHAD SAYS 235 MERCENARIES KILLED IN NEW BATTLE"" AND Reuters 1989-11-14 ""CHAD SAYS IT SMASHED ANOTHER PRO-LIBYAN BASE INSIDE SUDAN",,,,,5,Darfur,"Darfur (Inosoro, 360 km inside Sudan's Darfur region)",,,13.000000,25.000000,POINT (25 13),148731,Sudan,625,Africa,1,1,1989-11-13 00:00:00.000,1989-11-13 00:00:00.000,0,0,0,235,235,235,235,483,
12146,CHA-1989-1-18-2,1989,true,Clear,1,288,288,Chad: Government,608,608,Government of Chad - Revolutionary Forces of 1 April,87,87,Government of Chad,443,443,Revolutionary Forces of 1 April,-1,"BBC Monitoring Service: Africa 1989-10-23 ""government and dissident forces clash in Sudan",,,,,5,Darfur,Darfur (about 200 km inside Sudan's Darfur province),,,13.000000,25.000000,POINT (25 13),148731,Sudan,625,Africa,1,3,1989-10-14 00:00:00.000,1989-10-20 00:00:00.000,0,30,0,0,30,700,30,483,
11911,CHA-1990-1-23-2,1990,true,Clear,1,288,288,Chad: Government,609,609,Government of Chad - MPS,87,87,Government of Chad,445,445,MPS,-1,"A.C., 20 April, 1990",,,,,5,Darfur,Darfur,,,13.000000,25.000000,POINT (25 13),148731,Sudan,625,Africa,2,3,1990-03-25 00:00:00.000,1990-03-31 00:00:00.000,0,0,0,700,700,700,700,483,
