id,relid,year,active_year,code_status,type_of_violence,conflict_dset_id,conflict_new_id,conflict_name,dyad_dset_id,dyad_new_id,dyad_name,side_a_dset_id,side_a_new_id,side_a,side_b_dset_id,side_b_new_id,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,where_description,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,country_id,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best,high,low,gwnoa,gwnob
210,YEM-2009-1-784-1,2009,true,Clear,1,230,230,Yemen (North Yemen): Government,459,459,Government of Yemen (North Yemen) - AQAP,123,123,Government of Yemen (North Yemen),881,881,AQAP,-1,"Agence France-Presse (AFP), 2009-11-03, Top security officers in Yemen province killed / Associated Press Newswires, 2009-11-05, Al-Qaida claims responsibility for Yemen attack",,,,An official /Al-Qaida,3,Al ‘Abr district,Al ‘Abr district (Khashm al-Ayn area),Ḩaḑramawt governorate,Al ‘Abr district,15.938422,47.228796,POINT (47.228796 15.938422),152375,Yemen (North Yemen),678,Middle East,1,1,2009-11-03 00:00:00.000,2009-11-03 00:00:00.000,5,0,0,0,5,5,5,678,
483,YEM-2009-1-784-2,2009,true,Clear,1,230,230,Yemen (North Yemen): Government,459,459,Government of Yemen (North Yemen) - AQAP,123,123,Government of Yemen (North Yemen),881,881,AQAP,-1,"BBC Monitoring Middle East, 2009-12-01, Yemeni source says Al-Qa'idah kidnapped, killed Ma'rib detective",,,,A source at the Interior ministry,4,Ma'rib governorate,Ma'rib governorate,Ma'rib governorate,,15.416667,45.350000,POINT (45.35 15.416667),151651,Yemen (North Yemen),678,Middle East,1,1,2009-11-30 00:00:00.000,2009-11-30 00:00:00.000,0,0,0,0,0,1,0,678,
202,YEM-2009-1-784-4,2009,true,Clear,1,230,230,Yemen (North Yemen): Government,459,459,Government of Yemen (North Yemen) - AQAP,123,123,Government of Yemen (North Yemen),881,881,AQAP,-1,"BBC Monitoring Newsfile, 2009-12-17,  Yemeni raids net Al-Qa'idah would-be suicide attackers - agency",,,,A security source,3,Arḩab district,Arḩab district,Şan‘ā’ governorate,Arḩab district,15.790939,44.246602,POINT (44.246602 15.790939),152369,Yemen (North Yemen),678,Middle East,1,1,2009-12-17 00:00:00.000,2009-12-17 00:00:00.000,0,4,0,0,4,4,4,678,
25,YEM-2009-1-784-3,2009,true,Clear,1,230,230,Yemen (North Yemen): Government,459,459,Government of Yemen (North Yemen) - AQAP,123,123,Government of Yemen (North Yemen),881,881,AQAP,1,"""HRW,2013-10-01,“BETWEEN A DRONE AND AL-QAEDA”""",HRW,2013-10-01,“BETWEEN A DRONE AND AL-QAEDA”,A security source / A local Yemeni official,3,Al Maḩfid district,Al Maḩfid district (Al-Maajala village in),Abyan governorate,Al Maḩfid district,14.018470,46.755958,POINT (46.755958 14.01847),150214,Yemen (North Yemen),678,Middle East,1,1,2009-12-17 00:00:00.000,2009-12-17 00:00:00.000,0,14,41,0,55,59,55,678,
357,YEM-2009-1-784-5,2009,true,Clear,1,230,230,Yemen (North Yemen): Government,459,459,Government of Yemen (North Yemen) - AQAP,123,123,Government of Yemen (North Yemen),881,881,AQAP,-1,"Agence France-Presse (AFP), 2009-12-24, 34 suspected Al-Qaeda members killed by Yemeni army: source /BBC Monitoring Newsfile, 2009-12-24, Yemen army strikes Al-Qa'idah during leadership meeting",,,,A security source,2,Wādī Rafad,Wādī Rafad,Shabwah governorate,Ruḑūm district,14.093611,48.138333,POINT (48.138333 14.093611),150217,Yemen (North Yemen),678,Middle East,1,1,2009-12-24 00:00:00.000,2009-12-24 00:00:00.000,0,30,0,0,30,34,30,678,
877,YEM-2010-1-784-7,2010,true,Clear,1,230,230,Yemen (North Yemen): Government,459,459,Government of Yemen (North Yemen) - AQAP,123,123,Government of Yemen (North Yemen),881,881,AQAP,-1,"Reuters News, 2010-01-25, UPDATE 1-Al Qaeda did checkpoint attack, Yemen official says",,,,Interior Minister Muttahar al-Masri,6,Yemen (North Yemen),Yemen (North Yemen),,,15.500000,47.500000,POINT (47.5 15.5),152376,Yemen (North Yemen),678,Middle East,2,4,2010-01-01 00:00:00.000,2010-01-25 00:00:00.000,0,0,0,0,0,20,0,678,
203,YEM-2010-1-784-1,2010,true,Clear,1,230,230,Yemen (North Yemen): Government,459,459,Government of Yemen (North Yemen) - AQAP,123,123,Government of Yemen (North Yemen),881,881,AQAP,-1,"Agence France-Presse (AFP), 2010-01-04, Yemen security kills two Qaeda suspects: tribal source",,,,A tribal source,2,Arḩab town,"Arḩab town (near, 40 km north of Sanaa between Al Hanq and Beit Boussan villages)",Şan‘ā’ governorate,Arḩab district,15.916667,44.250000,POINT (44.25 15.916667),152369,Yemen (North Yemen),678,Middle East,1,1,2010-01-04 00:00:00.000,2010-01-04 00:00:00.000,0,0,0,0,0,2,0,678,
301,YEM-2010-1-784-2,2010,true,Clear,1,230,230,Yemen (North Yemen): Government,459,459,Government of Yemen (North Yemen) - AQAP,123,123,Government of Yemen (North Yemen),881,881,AQAP,-1,"BBC Monitoring Newsfile, 2010-01-13, Yemeni forces kill Al-Qa'idah leader",,,,Yemen's state news agency,3,Ḩabbān district,Ḩabbān district,Shabwah governorate,Ḩabbān district,14.290268,47.136125,POINT (47.136125 14.290268),150215,Yemen (North Yemen),678,Middle East,1,1,2010-01-12 00:00:00.000,2010-01-12 00:00:00.000,0,0,0,0,0,1,0,678,
545,YEM-2010-1-784-3,2010,true,Clear,1,230,230,Yemen (North Yemen): Government,459,459,Government of Yemen (North Yemen) - AQAP,123,123,Government of Yemen (North Yemen),881,881,AQAP,-1,"Associated Press Newswires, 2010-01-13, Yemen: Suspected al-Qaida figure killed in raid",,,,Yemen's state news agency,2,‘Ataq town,‘Ataq town (Nakaba area south of),Shabwah governorate,‘Ataq district,14.537665,46.831868,POINT (46.831868 14.537665),150934,Yemen (North Yemen),678,Middle East,1,1,2010-01-13 00:00:00.000,2010-01-13 00:00:00.000,0,0,0,0,0,2,0,678,
118,YEM-2010-1-784-4,2010,true,Clear,1,230,230,Yemen (North Yemen): Government,459,459,Government of Yemen (North Yemen) - AQAP,123,123,Government of Yemen (North Yemen),881,881,AQAP,-1,"Agence France-Presse (AFP), 2010-01-15, Yemen Al-Qaeda chiefs killed in air attack: senior official",,,,A senior Yemeni official,1,Ajashir Knolls area,Ajashir Knolls area,Şa‘dah governorate,Kitāf district,17.183333,44.800000,POINT (44.8 17.183333),154530,Yemen (North Yemen),678,Middle East,1,1,2010-01-15 00:00:00.000,2010-01-15 00:00:00.000,0,6,0,0,6,6,6,678,
